rank,commodityCode,goodsDescription,countryOfOriginCode,countryOfOriginName,manufacturerName,exporterNameAndAddress,uomCode,uomDesc,packetSize,requestedAmount,requestedOtherInformation,assessedAmount,assessedOtherInformation,recommendedAmount,recommendedOtherInformation
413,3822000000,"NextSeq? PhiX Control Kit 15051973 (Glycerol, Sucrose)",,,,,TNE,Metric ton,,500,,500,,500,
414,3822000000,NSQ 500/550 Hi Output KT v2.5 (300 CYS)  20024908 (Formamide),,,,,TNE,Metric ton,,500,,500,,500,
415,3822000000,NVSEQ 6000 S4 Rgt Kit v1.5 (300cyc)  20028312 (Formamide),,,,,TNE,Metric ton,,500,,500,,500,
416,3822000000,"NXTR? XT DNA SMP Prep Kit (24 SMP) 15032785 (Formamide, 2-Mercaptoethanol)",,,,,TNE,Metric ton,,500,,500,,500,
417,3822000000,"NXTR? XT DNA SMP Prep Kit (96 SMP) (Formamide, 2-Mercaptoethanol) 15032786",,,,,TNE,Metric ton,,500,,500,,500,
418,3822000000,"NXTR? XT IDX Kit (24 IDXS, 96 SMP) (Formamide, 2-Mercaptoethanol) 15032787",,,,,TNE,Metric ton,,500,,500,,500,
419,3822000000,"NXTR? XT IDX Kt v2 Set A 96 IDXS,384 SMP 15051885 (Control Oligo Stock, 5-(6-Aminopurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol)",,,,,TNE,Metric ton,,500,,500,,500,
420,3822000000,"NXTR? XT IDX Kt v2 Set B 96 IDXS,384 SMP 15051886 (Control Oligo Stock, 5-(6-Aminopurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol)",,,,,TNE,Metric ton,,500,,500,,500,
421,3822000000,"NXTR? XT IDX Kt v2 Set C 96 IDXS,384 SMP 15051887 (Control Oligo Stock, 5-(6-Aminopurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol)",,,,,TNE,Metric ton,,500,,500,,500,
422,3822000000,"NXTR? XT IDX Kt v2 Set D 96 IDXS,384 SMP 15051888 (Control Oligo Stock, 5-(6-Aminopurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol)",,,,,TNE,Metric ton,,500,,500,,500,
423,3822000000,"PhiX CONTROL V3 KIT 15017872 (Glycerol, Sucrose)",,,,,TNE,Metric ton,,500,,500,,500,
424,3822000000,"Resp. Virus Oligos Pnl 20042472 (Glycerol, Sucrose)",,,,,TNE,Metric ton,,500,,500,,500,
425,3822000000,TruSeq Strnd Total RNA LP Gold (48 Spl) 20020598 (Sucrose),,,,,TNE,Metric ton,,500,,500,,500,
426,3822000000,"TruSeq Strnd Total RNA LP Gold (96 Spl) 20020599 (Glycerol, Hydrogen chloride)",,,,,TNE,Metric ton,,500,,500,,500,
427,3822000000,"FC,MiSeq DRY SEALED BFC SUPERFLAT (Bead Na2O / CaO) 15031390",,,,,TNE,Metric ton,,500,,500,,500,
428,3822000000,ForenSeq? Human Sequencing Control 15058684 (Bead Na2O / CaO),,,,,TNE,Metric ton,,500,,500,,500,
429,3822000000,"LP#-EBT,ELUTION BFFR w/ TRIS,FINISH REAG 15025394 (tris(hydroxymethyl)aminomethane, or
2-amino-2-(hydroxymethyl)propane-1,3-diol)",,,,,TNE,Metric ton,,500,,500,,500,
430,3822000000,"SurePlex DNA Amplification System (50) 15043067 (Dimethyl sulfoxide, Glycerol)",,,,,TNE,Metric ton,,500,,500,,500,
431,3822000000,VeriSeq? PGS Kit - MiSeq? 15049007 (Formamide),,,,,TNE,Metric ton,,500,,500,,500,
432,3822000000,"NextSeq550Dx Rgt Kit v2.5 (75 cyc) IVD ( BULK, BLEACH, 0.12%, Sodium hypochlorite) 15058107",,,,,TNE,Metric tons,,500,,500,,500,
433,3822000000,"NextSeq550Dx Rgt Kit v2.5 (75 cyc) IVD ( BULK, ICM, Dx, Glycerin) 20005421",,,,,TNE,Metric tons,,500,,500,,500,
434,3822000000,"NextSeq550Dx Rgt Kit v2.5 (75 cyc) IVD (BULK, CMS, Dx, Glycerol, Sucrose) 20005422",,,,,TNE,Metric tons,,500,,500,,500,
435,3822000000,"NextSeq550Dx Rgt Kit v2.5 (75 cyc) IVD (BULK, SRM, Dx, Glycerol, Sucrose) 20005423",,,,,TNE,Metric tons,,500,,500,,500,
436,3822000000,"NextSeq550Dx Rgt Kit v2.5 (75 cyc) IVD (BULK, BMS, Dx, Dimethyl sulfoxide
67-68-5,Poly(oxy-1,2-ethanediyl),
.alpha.-[4-(1,1,3,3-tetramethylbutyl)
phenyl]-.omega.-hydroxy-
9002-93-1) 20005424",,,,,TNE,Metric tons,,500,,500,,500,
437,3822000000,"NextSeq550Dx Rgt Kit v2.5 (75 cyc) IVD (BULK,LDR1, Dx, Formamide) 20005425",,,,,TNE,Metric tons,,500,,500,,500,
438,3822000000,"NextSeq550Dx Rgt Kit v2.5 (75 cyc) IVD (Bulk, BEX, Dx, Sodium hypochlorite) 20005432",,,,,TNE,Metric tons,,500,,500,,500,
439,3822000000,"NextSeq550Dx Rgt Kit v2.5 (75 cyc) IVD (BULK, BB4, DX, 5-Chloro-2-methyl-3(2H)-isothiazolo
ne, mixture with 2-methyl-3(2H)-isothiazolone 20005434",,,,,TNE,Metric tons,,500,,500,,500,
440,3822000000,"NextSeq550Dx Rgt Kit v2.5 (75 cyc) IVD (BULK, BB2, Dx) 5-Chloro-2-methyl-3(2H)-isothiazolo
ne, mixture with 2-methyl-3(2H)-isothiazolone 20005435",,,,,TNE,Metric tons,,500,,500,,500,
441,3822000000,"NextSeq550Dx Rgt Kit v2.5 (75 cyc) IVD (BULK, BB3, Dx) 5-Chloro-2-methyl-3(2H)-isothiazolo
ne, mixture with 2-methyl-3(2H)-isothiazolone 20005436",,,,,TNE,Metric tons,,500,,500,,500,
442,3822000000,"NextSeq550Dx Rgt Kit v2.5 (75 cyc) IVD (Library Dilution Buffer), 5-Chloro-2-methyl-3(2H)-isothiazolo
ne, mixture with 2-methyl-3(2H)-isothiazolone 20018864",,,,,TNE,Metric ton,,500,,500,,500,
443,3822000000,"NextSeq550Dx Rgt Kit v2.5 (75 cyc) IVD (BULK, BP10, Dx, Glycerol, Sucrose) 20005426",,,,,TNE,Metric ton,,500,,500,,500,
444,3822000000,"NextSeq550Dx Rgt Kit v2.5 (75 cyc) IVD (BULK, BP11, Dx, Glycerol, Sucrose) 20005427",,,,,TNE,Metric ton,,500,,500,,500,
445,3822000000,"NextSeq550Dx Rgt Kit v2.5 (75 cyc) IVD (BULK, BP14, Dx, Glycerol, Sucrose) 20005428",,,,,TNE,Metric ton,,500,,500,,500,
446,3822000000,"NextSeq550Dx Rgt Kit v2.5 (75 cyc) IVD (BULK, BLM1, Dx, Glycerol, Sucrose) 20005429",,,,,TNE,Metric ton,,500,,500,,500,
447,3822000000,"NextSeq550Dx Rgt Kit v2.5 (75 cyc) IVD (BULK, BLM2, Dx, Glycerol, Sucrose) 20005430",,,,,TNE,Metric ton,,500,,500,,500,
448,3822000000,"NextSeq550Dx Rgt Kit v2.5 (75 cyc) IVD (BULK, BRM, Dx, Glycerol, Sucrose) 20005431",,,,,TNE,Metric ton,,500,,500,,500,
449,3822000000,"NextSeq550Dx Rgt Kit v2.5 (300 cyc) IVD BULK, BLEACH, 0.12%,  Sodium hypochlorite 15058107",,,,,TNE,Metric ton,,500,,500,,500,
450,3822000000,"NextSeq550Dx Rgt Kit v2.5 (300 cyc) IVD (BULK, ICM, Dx, Glycerin) 20005421",,,,,TNE,Metric ton,,500,,500,,500,
451,3822000000,"NextSeq550Dx Rgt Kit v2.5 (300 cyc) IVD ( BULK, CMS, Dx , Glycerol, Sucrose) 20005422",,,,,TNE,Metric ton,,500,,500,,500,
452,3822000000,"NextSeq550Dx Rgt Kit v2.5 (300 cyc) IVD (BULK, SRM, Dx, Glycerol, Sucrose) 20005423",,,,,TNE,Metric ton,,500,,500,,500,
453,3822000000,"NextSeq550Dx Rgt Kit v2.5 (300 cyc) IVD (BULK, BMS, Dx, Dimethyl sulfoxide, Poly(oxy-1,2-ethanediyl),
.alpha.-[4-(1,1,3,3-tetramethylbutyl)
phenyl]-.omega.-hydroxy-) 20005424",,,,,TNE,Metric ton,,500,,500,,500,
454,3822000000,"NextSeq550Dx Rgt Kit v2.5 (300 cyc) IVD (BULK,LDR1, Dx, Formamide) 20005425",,,,,TNE,Metric ton,,500,,500,,500,
455,3822000000,"NextSeq550Dx Rgt Kit v2.5 (300 cyc) IVD (Bulk, BEX, Dx) Sodium hypochlorite 20005432",,,,,TNE,Metric ton,,500,,500,,500,
456,3822000000,"NextSeq550Dx Rgt Kit v2.5 (300 cyc) IVD  (BULK, BB4, DX)  5-Chloro-2-methyl-3(2H)-isothiazolo
ne, mixture with 2-methyl-3(2H)-isothiazolone 20005434",,,,,TNE,Metric ton,,500,,500,,500,
457,3822000000,"NextSeq550Dx Rgt Kit v2.5 (300 cyc) IVD  (BULK, BB2, Dx) 5-Chloro-2-methyl-3(2H)-isothiazolo
ne, mixture with 2-methyl-3(2H)-isothiazolone 20005435",,,,,TNE,Metric ton,,500,,500,,500,
458,3822000000,"NextSeq550Dx Rgt Kit v2.5 (300 cyc) IVD BULK, BB3, Dx, 20005436 IVD 5-Chloro-2-methyl-3(2H)-isothiazolo
ne, mixture with
2-methyl-3(2H)-isothiazolone",,,,,TNE,Metric ton,,500,,500,,500,
459,3822000000,"NextSeq550Dx Rgt Kit v2.5 (300 cyc) IVD (Library Dilution Buffer) IVD 5-Chloro-2-methyl-3(2H)-isothiazolo
ne, mixture with
2-methyl-3(2H)-isothiazolone 20018864",,,,,TNE,Metric ton,,500,,500,,500,
460,3822000000,"NextSeq550Dx Rgt Kit v2.5 (300 cyc) IVD ( BULK, BP10, Dx,) Glycerol, Sucrose) 20005426",,,,,TNE,Metric ton,,500,,500,,500,
461,3822000000,"NextSeq550Dx Rgt Kit v2.5 (300 cyc) IVD (BULK, BP11, Dx, Glycerol, Sucrose, (EC) 1272/2008 [GHS]) 20005427",,,,,TNE,Metric ton,,500,,500,,500,
462,3822000000,"NextSeq550Dx Rgt Kit v2.5 (300 cyc) IVD (BULK, BP14, Dx, (EC) 1272/2008 [GHS], Glycerol, Sucrose) 20005428",,,,,TNE,Metric ton,,500,,500,,500,
463,3822000000,"NextSeq550Dx Rgt Kit v2.5 (300 cyc) IVD (BULK, BLM1, Dx, Sucrose) 20005429",,,,,TNE,Metric ton,,500,,500,,500,
464,3822000000,"NextSeq550Dx Rgt Kit v2.5 (300 cyc) IVD (BULK, BLM2, Dx, Glycerin, Sucrose) 20005430",,,,,TNE,Metric ton,,500,,500,,500,
465,3822000000,"NextSeq550Dx Rgt Kit v2.5 (300 cyc) IVD (BULK, BRM, Dx, Glycerin, Sucrose) 20005431",,,,,TNE,Metric ton,,500,,500,,500,
466,3822000000,"NextSeq? 2000 P3 Reagents (300 Cycles, 20040561) BB6 (Sodium chloride 7647-14-5, 20004515)",,,,,TNE,Metric ton,,500,,500,,500,
467,3822000000,"NextSeq? 2000 P3 Reagents (200 Cycles) BB6, 20004515 (Sodium chloride 7647-14-5), 20040560)",,,,,TNE,Metric ton,,500,,500,,500,
468,3822000000,"NextSeq?1000/2000 P2 Reagents(300Cycles) BB6, 20043736  (Sodium chloride
7647-14-5)",,,,,TNE,Metric ton,,500,,500,,500,
469,3822000000,"NextSeq?1000/2000 P2 Reagents(300Cycles)20046813 (BB6) (Sodium chloride
7647-14-5)",,,,,TNE,Metric ton,,500,,500,,500,
470,3822000000,"NextSeq? 2000 P3 Reagents (100 Cycles) 20046116 (VG-BP14, CUSTOM INDEX PRIMER   (Sodium chloride
7647-14-5)",,,,,TNE,Metric ton,,500,,500,,500,
471,3822000000,"NextSeq? 1000/2000 Index Primer Kit 20046116 (VG-BP14, CUSTOM INDEX PRIMER) (Sodium chloride
7647-14-5)",,,,,TNE,Metric ton,,500,,500,,500,
472,3822000000,"NextSeq? 1000/2000 Read Primer Kit 20046117 (VG-HP21, CUSTOM R1R2 PRIMER) (Sodium chloride
7647-14-5)",,,,,TNE,Metric ton,,500,,500,,500,
473,3822000000,"NextSeq?1000/2000 P2 Reagents(200Cycles) (BB6) 20043737 (Sodium chloride
7647-14-5)",,,,,TNE,Metric ton,,500,,500,,500,
474,3822000000,NextSeq?1000/2000 P2 Reagents(200Cycles) 20046812 BB6 (Sodium chloride 7647-14-5),,,,,TNE,Metric ton,,500,,500,,500,
475,3822000000,"NextSeq? 2000 P3 Reagents (50 Cycles) 20046810 BULK, JCM, CLEAVEAGE MIX (Ethanolamine)",,,,,TNE,Metric ton,,500,,500,,500,
476,3822000000,"NextSeq?1000/2000 P2 Reagents(100Cycles) 20043738 (BB6) (Sodium chloride
7647-14-5)",,,,,TNE,Metric ton,,500,,500,,500,
477,3822000000,"NextSeq?1000/2000 P2 Reagents(100Cycles) 20046811 (BB6)(Sodium chloride
7647-14-5)",,,,,TNE,Metric ton,,500,,500,,500,
478,3822000000,"NextSeq? 1000/2000 Read & Index Primers 20046115 VG-HP21, CUSTOM R1R2 PRIMER (Sodium chloride
7647-14-5)",,,,,TNE,Metric ton,,500,,500,,500,
479,3822000000,"NovaSeq 6000 S4 Kit (300 Cycles)?40 pack[20039236] (BULK,LDR1) (Formamide)",,,,,TNE,Metric ton,,500,,500,,500,
480,3822000000,"NovaSeq 6000 S4 Kit (300 Cycles)?20 pack[20039234] (BULK,LDR1) (Formamide)",,,,,TNE,Metric ton,,500,,500,,500,
481,3822000000,"NovaSeq 6000 S4 Kit (300 Cycles)?10 pack[20039233]  (BULK,LDR1) (Formamide)",,,,,TNE,Metric ton,,500,,500,,500,
482,3822000000,"NovaSeq 6000 S4 Rgt Kit (300 cyc)[20012866] (BULK,LDR1) (Formamide)",,,,,TNE,Metric ton,,500,,500,,500,
483,3822000000,"NovaSeq 6000 S4 Reagent Kit (200 cycles)[20027466](BULK,LDR1) (Formamide 75-12-7)",,,,,TNE,Metric ton,,500,,500,,500,
484,3822000000,"NovaSeq 5000/6000 S2 Rgt Kit (300 cyc)[20012860] (BULK,LDR1) (Formamide 75-12-7)",,,,,TNE,Metric ton,,500,,500,,500,
485,3822000000,"NovaSeq 5000/6000 S2 Rgt Kit (200 cyc)[20012861]  BULK,LDR1 (formamide)",,,,,TNE,Metric ton,,500,,500,,500,
486,3822000000,"NVSEQ 6000 S4 Rgt Kit v1.5 (200cyc[20028313]) BULK,LDR1 (formamide)",,,,,TNE,Metric ton,,500,,500,,500,
487,3822000000,"NVSEQ 6000 S4 Rgt Kit v1.5 (35cyc) BULK,LDR1 [20044417] (formamide)",,,,,TNE,Metric ton,,500,,500,,500,
488,3822000000,"NVSEQ 6000 S2 Rgt Kit v1.5 (300cyc) BULK,LDR1 [20028314]  (formamide)",,,,,TNE,Metric ton,,500,,500,,500,
489,3822000000,"NovaSeq 5000/6000 S2 Rgt Kit (100 cyc) BULK,LDR1 [20012862] (formamide)",,,,,TNE,Metric ton,,500,,500,,500,
490,3822000000,"NVSEQ 6000 S2 Rgt Kit v1.5 (200cyc) BULK,LDR1 [20028315] (Formamide 75-12-7)",,,,,TNE,Metric ton,,500,,500,,500,
491,3822000000,"NVSEQ 6000 S2 Rgt Kit v1.5 (100cyc) BULK,LDR1 [20028316] (formamide)",,,,,TNE,Metric ton,,500,,500,,500,
492,3822000000,"NovaSeq 5000/6000 S1 Rgt Kit (300 cyc) BULK,LDR1 [20012863] (formamide)",,,,,TNE,Metric ton,,500,,500,,500,
493,3822000000,"NovaSeq 5000/6000 S1 Rgt Kit (200 cyc) BULK,LDR1 [20012864] (formamide)",,,,,TNE,Metric ton,,500,,500,,500,
494,3822000000,"NovaSeq 6000 SP Reagent Kit (500 cycles) BULK,LDR1 [20029137] (Formamide 75-12-7)",,,,,TNE,Metric ton,,500,,500,,500,
495,3822000000,"NVSEQ 6000 S1 Rgt Kit v1.5 (300cyc) BULK,LDR1 [20028317] (formamide)",,,,,TNE,Metric ton,,500,,500,,500,
496,3822000000,"NVSEQ 6000 S1 Rgt Kit v1.5 (200cyc) BULK,LDR1 [20028318] (formamide)",,,,,TNE,Metric ton,,500,,500,,500,
497,3822000000,"NVSEQ 6000 SP Rgt Kit v1.5 (500cyc) BULK,LDR1 [20028402] (formamide)",,,,,TNE,Metric ton,,500,,500,,500,
498,3822000000,"NovaSeq 5000/6000 S1 Rgt Kit (100 cyc) BULK,LDR1 [20012865](Formamide 75-12-7)",,,,,TNE,Metric ton,,500,,500,,500,
499,3822000000,"NovaSeq 6000 SP Reagent Kit (300 cycles) BULK,LDR1 [20027465] (formamide)",,,,,TNE,Metric ton,,500,,500,,500,
500,3822000000,"NVSEQ 6000 S1 Rgt Kit v1.5 (100cyc) BULK,LDR1 [20028319] (Formamide 75-12-7)",,,,,TNE,Metric ton,,500,,500,,500,
501,3822000000,"NovaSeq 6000 SP Reagent Kit (200 cycles) BULK,LDR1 [20040326] (formamide)",,,,,TNE,Metric ton,,500,,500,,500,
502,3822000000,"NVSEQ 6000 SP Rgt Kit v1.5 (300cyc) BULK,LDR1 [20028400] (formamide)",,,,,TNE,Metric ton,,500,,500,,500,
503,3822000000,"NVSEQ 6000 SP Rgt Kit v1.5 (200cyc) BULK,LDR1 [20040719] (formamide)",,,,,TNE,Metric ton,,500,,500,,500,
504,3822000000,"NovaSeq 6000 SP Reagent Kit (100 cycles) BULK,LDR1 [20027464] (formamide)",,,,,TNE,Metric ton,,500,,500,,500,
505,3822000000,"NVSEQ 6000 SP Rgt Kit v1.5 (100cyc) BULK,LDR1 [20028401]  (formamide)",,,,,TNE,Metric ton,,500,,500,,500,
506,3822000000,"NovaSeq Xp 4-Lane Kit (NV#-DPX1,PC MIX 1,FIN RGT,4 LANE)[20021665](Glycerol)",,,,,TNE,Metric ton,,500,,500,,500,
507,3822000000,"NovaSeq XP 4-Lane Kit v1.5[20043131] (NV#-JPX1, PC MIX 1, FIN RGT, 4 LANE) (Polyethylene glycol 25322-68-3)",,,,,TNE,Metric ton,,500,,500,,500,
508,3822000000,"NovaSeq Xp 2-Lane Kit[20021664](Glycerol) (Polyethylene glycol
25322-68-3) (NV#-JPX1, PC MIX 1, FIN RGT, 4 LANE)",,,,,TNE,Metric ton,,500,,500,,500,
509,3822000000,"NovaSeq XP 2-Lane Kit v1.5[20043130](NV#-JPX1, PC MIX 1, FIN RGT, 4 LANE) (water) (Polyethylene glycol
25322-68-3)",,,,,TNE,Metric ton,,500,,500,,500,
510,3822000000,"TG HiSeq? SBS Kit v4 (250 cycles)[15055756] (BULK.GA#-PW1) (5-Chloro-2-methyl-2,3-dihydroisothiazol-3-one and2-Methyl-2,3-dihydroisothiazol-3-one (3:1)",,,,,TNE,Metric ton,,500,,500,,500,
511,3822000000,HiSeq? SBS Kit v4 (250 Cycle) (GA#-PW1) [15049318](water),,,,,TNE,Metric ton,,500,,500,,500,
512,3822000000,TruSeq SBS KIT v3 - HS (200 CYCLES) (GA#-PW1) [15022160](water),,,,,TNE,Metric ton,,500,,500,,500,
513,3822000000,TG HiSeq? PE Cluster Kit v4 ?cBot? (BULK.GA#-PW1)  [15055740](water),,,,,TNE,Metric ton,,500,,500,,500,
514,3822000000,TruSeq? PE Cluster Kit v3 ? cBot? - HS (GA#-HP3) [15022158](Sodium hydroxide ),,,,,TNE,Metric ton,,500,,500,,500,
515,3822000000,HiSeq? PE Cluster Kit v4 ? cBot? (BULK.GA#-PW1) [15045005](water),,,,,TNE,Metric ton,,500,,500,,500,
516,3822000000,TG HiSeq? Rapid SBS Kit v2 (500 cycles) (BULK.GA#-PW1) [15068083](water),,,,,TNE,Metric ton,,500,,500,,500,
517,3822000000,TG HiSeq? SR Cluster Kit v4 ?cBot? (TG AMS-4 8 TUBE STRIPS) [15055710](Glycerol),,,,,TNE,Metric ton,,500,,500,,500,
518,3822000000,TG TruSeq? SR CLSTR Kit v1 cBot - HS (TG AMS-4 8 TUBE STRIPS) [15072441]Sodium hydroxide,,,,,TNE,Metric ton,,500,,500,,500,
519,3822000000,HiSeq? Rapid SBS Kit v2 (500 cycles) (GA#-PW1) [15045012](water),,,,,TNE,Metric ton,,500,,500,,500,
520,3822000000,TruSeq? SR Cluster Kit v3 ? cBot? - HS (GA#-HP3) [15022157]Sodium hydroxide,,,,,TNE,Metric ton,,500,,500,,500,
521,3822000000,HiSeq? SR Cluster Kit v4 ? cBot? (GA#-HP3) [15045004](Sodium chloride 7647-14-5),,,,,TNE,Metric ton,,500,,500,,500,
522,3822000000,"TG HiSeq? SBS Kit v4 (50 cycles)[15055749](TG#-SB1, SBS Buf 1, High Salt Buffer, 50-Cycle) (5-Chloro-2-methyl-2,3-dihydroisothiazol-3-one and2-Methyl-2,3-dihydroisothiazol-3-one (3:1)",,,,,TNE,Metric ton,,500,,500,,500,
523,3822000000,TruSeq SBS KIT v3 - HS (50 CYCLES) GA#-PW1 [15022161](water),,,,,TNE,Metric ton,,500,,500,,500,
524,3822000000,HiSeq? SBS Kit v4 (50 Cycle) (GA#-PW1) [15045008](water),,,,,TNE,Metric ton,,500,,500,,500,
525,3822000000,"TG HiSeq? Rapid SBS Kit v2 (200 cycles) (BULK,MS#-IMT,INCORPORATION MIX)[15068080](Glycerol)",,,,,TNE,Metric ton,,500,,500,,500,
526,3822000000,HiSeq? Rapid SBS Kit v2 (200 cycles) (GA#-PW1) [15045011](water),,,,,TNE,Metric ton,,500,,500,,500,
527,3822000000,HiSeq? Rapid SBS Kit v2 (50 cycles)(GA#-PW1) [15045010] (water),,,,,TNE,Metric ton,,500,,500,,500,
528,3822000000,HiSeq? 3000/4000 SBS Kit (300cycles) (GA#-PW1) [15067092](water),,,,,TNE,Metric ton,,500,,500,,500,
529,3822000000,TG HiSeq? 3000/4000 PE ClusterKit (BULK.GA#-PW1) [15075671](water),,,,,TNE,Metric ton,,500,,500,,500,
530,3822000000,"TG HiSeq? 3000/4000 SBS Kit (BULK.GA#-PR2) [15075669](150 cycles)5-Chloro-2-methyl-2,3-dihydroisothiazol-3-one and
2-Methyl-2,3-dihydroisothiazol-3-one (3:1)",,,,,TNE,Metric ton,,500,,500,,500,
531,3822000000,TG HiSeq? 3000/4000 SR Cluster Kit [(BULK.GA#-PW1) 15075672](water),,,,,TNE,Metric ton,,500,,500,,500,
532,3822000000,HiSeq? 3000/4000 SR Cluster Kit (BULK.GA#-PW1) [15067578](water),,,,,TNE,Metric ton,,500,,500,,500,
533,3822000000,"TG HiSeq? 3000/4000 SBS Kit (50 cycles) (BULK.GA#-PR2) [15075668]5-Chloro-2-methyl-2,3-dihydroisothiazol-3-one and 2-Methyl-2,3-dihydroisothiazol-3-one (3:1)",,,,,TNE,Metric ton,,500,,500,,500,
534,3822000000,HiSeq? 3000/4000 SBS Kit (50 cycles) GA#-PW1 [15067089](water),,,,,TNE,Metric ton,,500,,500,,500,
535,3822000000,"NXTRA DNA FLEX ENRICHMENT REAGENTS - HT [ SO#-EHB2, Enrich Hyb Buffer 2, uHT) 20038673](sodium chloride)",,,,,TNE,Metric ton,,500,,500,,500,
536,3822000000,"NXTRA DNA FLEX PRE-ENRICHMENT LP RGNT HT  (SO#-RSB, RESUSPENSION BUFFER, uHT )[20038672](water)",,,,,TNE,Metric ton,,500,,500,,500,
537,3822000000,TruSight cfDNA UMI HiSeq 2500 Kt(48 Spl) GA#-PW1 [20023394](water),,,,,TNE,Metric ton,,500,,500,,500,
538,3822000000,TruSight cfDNA UMI HiSeq 4000 Kt(48 Spl) GA#-PW1 [20023395](water),,,,,TNE,Metric ton,,500,,500,,500,
539,3822000000,"TS Onc 500 DNA HT (144 Spl), plus PDx(LP#-STL,STOP LIGATION BUFFER) [20040771](water)",,,,,TNE,Metric ton,,500,,500,,500,
540,3822000000,"TS Onc 500 DNA/RNA HT (72 Spl), plus PDx 
([20040770](water) LP#-STL,STOP LIGATION BUFFER)",,,,,TNE,Metric ton,,500,,500,,500,
541,3822000000,"TS Onc 500 DNA HT (144 Spl)(LP#-STL,STOP LIGATION BUFFER)[20040767](water)",,,,,TNE,Metric ton,,500,,500,,500,
542,3822000000,"TS Onc 500 DNA/RNA HT (72 Spl) (LP#-STL,STOP LIGATION BUFFER) [20040766](water)",,,,,TNE,Metric ton,,500,,500,,500,
543,3822000000,"TSO500 DNA Auto Kt NSQ(64Spl)+PierianDx (GA#-HT1,cbot 15 mL TUBE) [20045507](water)",,,,,TNE,Metric ton,,500,,500,,500,
544,3822000000,"TruSightOnco 500 DNA Auto Kt,NSQ(64 Spl) (GA#-HT1,cbot 15 mL TUBE) [20045505](water)",,,,,TNE,Metric ton,,500,,500,,500,
545,3822000000,"ALP IFCC Gen.2 L, 400T, cobas c, Int. [3333701190] (ALP 2) [2-amino-2-methylpropanol, sodium hydroxide]",,,,,TNE,Metric ton,,500,,500,,500,
546,3822000000,"ALP IFCC Gen.2 S, 200T, cobas c, Int. [3333752190] (ALP2) [2-amino-2-methylpropanol, sodium hydroxide]",,,,,TNE,Metric ton,,500,,500,,500,
547,3822000000,"TSO500 DNA Kit NextSeq (48Spl)+PierianDx (LP#-STL,STOP LIGATION BUFFER) [20032625](water)",,,,,TNE,Metric ton,,500,,500,,500,
548,3822000000,"TSO500 DNA/RNA Auto Kt NSQ(32)PierianDx(LP#-STL,STOP LIGATION BUFFER) [20045991](Sodium chloride 7647-14-5)",,,,,TNE,Metric ton,,500,,500,,500,
549,3822000000,"TruSight Onco 500 DNA Kt, NSQ (48 Spl) (GA#-HT1,cbot 15 mL TUBE) [20028214](Sodium chloride 7647-14-5)",,,,,TNE,Metric ton,,500,,500,,500,
550,3822000000,"TSO 500 DNA/RNA Auto Kt,NSQ(32 Spl)[20045990](Sodium chloride 7647-14-5)",,,,,TNE,Metric ton,,500,,500,,500,
551,3822000000,"TSO500 DNA Auto Kit (64 spl)+PierianDx (LP#-STL,STOP LIGATION BUFFER) [20045506]Water 7732-18-5",,,,,TNE,Metric ton,,500,,500,,500,
552,3822000000,TruSite RPD CPTR KT (96 INX 288 SMP) (GA#-HP3) [15041717](Sodium hydroxide 1310-73-2),,,,,TNE,Metric ton,,500,,500,,500,
553,3822000000,"TSO500 DNA/RNA Auto Kit(32Spl)+PierianDx[ (LP#-STL,STOP LIGATION BUFFER) 20045509]Water 7732-18-5",,,,,TNE,Metric ton,,500,,500,,500,
554,3822000000,"TSO500 DNA/RNA Kit NextSeq (24)PierianDx (LP#-STL,STOP LIGATION BUFFER) [20032627]Water 7732-18-5",,,,,TNE,Metric ton,,500,,500,,500,
555,3822000000,AmpliSeq Library PLUS (384 Reactions)(1X Lib Amp Mix) [20019103]Glycerol,,,,,TNE,Metric ton,,500,,500,,500,
556,3822000000,"TruSight Onco 500 DNA Auto Kt (64 Spl) (LP#-STL,STOP LIGATION BUFFER) 20045504 (Water
7732-18-5)",,,,,TNE,Metric ton,,500,,500,,500,
557,3822000000,"TruSight Onco 500 DNA/RNA Kt,NSQ(24 Spl) (GA#-HT1,cbot 15 mL TUBE) ( 20028216 (Sodium chloride
7647-14-5)",,,,,TNE,Metric ton,,500,,500,,500,
558,3822000000,"TruSightOnco 500 DNA/RNA Auto Kt(32 Spl) (MP#-ERA1-B, End Repair A-tailing Buffer 1, 210 ul) 20045508 (DL-Dithiothreitol (DTT))",,,,,TNE,Metric ton,,500,,500,,500,
559,3822000000,"TSO500 DNA Kit (48 samples)+PierianDx (LP#-LNW1,LIBRARY NORMALIZATION WASH 1) 20032624 (Formamide, 2-Mercaptoethanol)",,,,,TNE,Metric ton,,500,,500,,500,
560,3822000000,"TS Onc 500 DNA HT (48 Spl), plus PDx (LP#-STL,STOP LIGATION BUFFER) 20046780 (water)",,,,,TNE,Metric ton,,500,,500,,500,
